Account,Category2,Account Description,NQA1,Factory Quantity,Factory Unit,Factory Equipment Cost,Site Quantity,Site Quantity Unit,Site Labor Hours,Site Labor Cost,Site Material Cost,Total Cost,Material Index,Labor Index,Subcategories,,
A.1,,Total Base Cost,,,,3393612209,,,30361571,1573419740,652684790.4,5619716739,,,787,,
A.2,,Total Direct Costs,,,,1179404610,,,21989571,1150375140,336995790.4,2666775540,,,786,,4420
A.21,Structures and Improvements,Structures and Improvements,,,,51491625.21,,,8876130,447154428.5,201771666.4,700417720,,,563,,
A.211.,Yardwork,Yardwork,,,,627151.8,,,1028758,46654086.87,29782686.55,77063925,,,4,,
A.211.1,Yardwork,General Yardwork,0,,,627151.8,,,223901.1583,10886491.93,8218524.721,19732168,,,1,,
A.211.4,Yardwork,Railroads,0,,,0,,,115962.8041,4995516.913,3721250.597,8716768,,,1,,
A.211.7,Yardwork,Structure Associated Yardwork,0,,,0,,,688894.0372,30772078.02,17842911.23,48614989,,,2,,
A.211.71,Yardwork,Cut & Fill,,,,,,,688894.0372,30772078.02,17842911.23,48614989.25,,,3,,
A.211.711,Yardwork,Open Cut,,,,,,,353027,15125864,4440332,19566196,,,5,,
A.211.7111,Yardwork,Dewatering,0,,,,1,LT,95708,3909813,209929,4119743,,,1,,
A.211.7112,Yardwork,Earth Excavation,0,,,,120000,CY,16407,763694,602348,1366041,,,1,,
A.211.7113,Yardwork,Rock Excavation,0,,,,200000,CY,218762,9421369,3356999,12778368,,,1,,
A.211.7114,Yardwork,Excavation - Trench,0,,,,54000,CY,22150,1030988,271056,1302045,,,1,,
A.211.712,Yardwork,Fill & Backfill (Place/Comp),,,,245650,,,335867.461,15646213.59,13402579.35,29048792.94,,,1,,
A.212.,Reactor Containment Building,Reactor Containment Building,,,,31956445.62,,,2996729,150693412.6,47136659.32,229786518,,,50,,
A.212.1,Reactor Containment Building,Building Structure,,,,30308121.14,,,2836640.426,142040479.1,44671295.96,217019896,,,33,,
A.212.13,Building Structure,Substructure Concrete,,,,0,,,220621.8662,11129822.19,8063843.092,19193665,,,9,,
A.212.131,Substructure Concrete,Formwork,1,,,0,11000,SF,14163.06115,724262.889,68921.38409,793184,Formwork,Carpenters,1,,
A.212.132,Substructure Concrete,Reinforcing Steel,1,,,0,2700,TN,129122.9731,6605808.935,5741421.854,12347231,Reinforcing Steel,Ironworkers,1,,
A.212.133,Substructure Concrete,Concrete,1,,,0,8400,CY,37081.46919,1605587.551,1433623.173,3039211,Structural Concrete,Laborer,1,,
A.212.134,Substructure Concrete,Embedded Steel,1,,,0,3,TN,1683.013111,88062.3919,29661.68468,117724,Embedded Steel,Laborer,1,,
A.212.136,Substructure Concrete,Waterproofing,1,,,0,22500,SF,827.711366,33305.56425,12687.80025,45993,CPI,Laborer,1,,
A.212.137,Substructure Concrete,Cadwelds,1,,,0,6200,EA,34212.06979,1892173.461,704094.5943,2596268,CPI,Laborer,1,,
A.212.138,Substructure Concrete,Construction Joints,1,,,0,8000,SF,2207.230309,112871.2277,46365.29475,159237,Formwork,Carpenters,1,,
A.212.139,Substructure Concrete,Wire Fabric,1,,,0,36000,SF,1324.338186,67750.16745,27067.30721,94817,Iron & Steel,Ironworkers,1,,
A.212.14,Building Structure,Superstructure,,,,3367569.015,,,1972243.052,98257297.5,35352535.44,136977402,,,22,,
A.212.141,Superstructure,Concrete Work,,,,0,,,754569.2716,37509165.51,15853219.56,53362385,,,4,,
A.212.1411,Concrete Work,Containment Shell,1,,,0,,,526829.0876,26241971.13,11030090.02,37272061,,,9,,
A.212.14111,Containment Shell,Formwork,1,,,0,67000,SF,123237.0256,6302007.272,524742.3561,6826750,Formwork,Carpenters,1,,
A.212.14112,Containment Shell,Reinforcing Steel,1,,,0,3100,TN,216676.442,11084965.36,6765223.382,17850189,Reinforcing Steel,Ironworkers,1,,
A.212.14113,Containment Shell,Concrete,1,,,0,9600,CY,74162.93839,3211170.735,1638426.483,4849597,Structural Concrete,Laborer,1,,
A.212.14114,Containment Shell,Embedded Steel,1,,,0,20,TN,11220.08741,543039.3004,197744.5645,740784,Embedded Steel,Ironworkers,1,,
A.212.14115,Containment Shell,Rubbing Surfaces,1,,,0,56000,SF,10300.40811,445996.7844,26315.43756,472312,CPI,Laborer,1,,
A.212.14116,Containment Shell,Waterproofing,1,,,0,30500,SF,1122.008741,45146.76643,17199.01812,62346,CPI,Laborer,1,,
A.212.14117,Containment Shell,Cadwelds,1,,,0,13800,EA,76149.44567,3895733.578,1567178.29,5462912,CPI,Ironworkers,1,,
A.212.14118,Containment Shell,Construction Joints,1,,,0,50600,SF,13960.73171,713911.3336,293260.4893,1007172,Formwork,Carpenters,1,,
A.212.1412,Concrete Work,Containment Dome,1,,,0,,,209346.598,10470773.11,4590482.272,15061255,,,7,,
A.212.14121,Containment Dome,Formwork,1,,,0,19500,SF,34074.1179,1742460.39,152723.5216,1895184,Formwork,Carpenters,1,,
A.212.14122,Containment Dome,Reinforcing Steel,1,,,0,1150,TN,80379.97043,4112162.548,2509679.642,6621842,Reinforcing Steel,Ironworkers,1,,
A.212.14123,Containment Dome,Concrete,1,,,0,3450,CY,26652.30598,1154019.463,588811.3045,1742831,Structural Concrete,Laborer,1,,
A.212.14125,Containment Dome,Rubbing Surfaces,1,,,0,20000,SF,3678.717182,159284.254,9398.370557,168683,CPI,Laborer,1,,
A.212.14127,Containment Dome,Cadwelds,1,,,0,11200,EA,61802.44866,3161753.91,1271912.815,4433667,CPI,Ironworkers,1,,
A.212.14128,Containment Dome,Construction Joints,1,,,0,10000,SF,2759.037887,141092.5413,57956.61844,199049,Formwork,Carpenters,1,,
A.212.140,Concrete Work,Interior Concrete,,,,3367569.015,,,889513.8146,45289162.74,13223212.04,61879944,,,10,,
A.212.1401,Interior Concrete,Formwork,1,,,0,100000,SF,249141.1212,12747393.41,806176.5625,13553570,Formwork,Carpenters,1,,
A.212.1402,Interior Concrete,Reinforcing Steel,1,,,0,2100,TN,173819.3868,8892432.619,4582893.259,13475326,Reinforcing Steel,Ironworkers,1,,
A.212.1403,Interior Concrete,Concrete,1,,,0,8000,CY,70631.36989,3058256.803,1365355.403,4423612,Structural Concrete,Laborer,1,,
A.212.1404,Interior Concrete,Embedded Steel,1,,,0,360,TN,201961.5733,10567094.07,3559402.161,14126496,Embedded Steel,Laborer,1,,
A.212.1405,Interior Concrete,Rubbing Surfaces,1,,,0,64000,SF,11771.89498,509708.7395,30074.78578,539784,CPI,Laborer,1,,
A.212.1406,Interior Concrete,Reactor Cavity Liner Plate,1,,,0,11000,SF,60698.8335,3078745.314,1928680.035,5007425,Special Steel Liners,Ironworkers,1,,
A.212.1407,Interior Concrete,Cadwelds,1,,,0,4950,EA,27314.47508,1510687.65,562141.6054,2072829,CPI,Laborer,1,,
A.212.1408,Interior Concrete,Construction Joints,1,,,0,8000,SF,2207.230309,112871.2277,46365.29475,159237,Formwork,Carpenters,1,,
A.212.1409,Interior Concrete,Major Support Embedments,1,1,LT,3367569.015,1,LT,91967.92955,4811972.903,342122.9311,8521665,Embedded Steel,Laborer,1,,
A.212.1419,Concrete Work,Removable Plugs,1,,,0,1,LT,18393.58591,796421.27,232647.2648,1029069,CPI,Laborer,1,,
A.212.142,Superstructure,Structural & Miscellaneous Steel,,,,0,,,57038.50991,2909128.753,3818022.677,6727151,,,6,,
A.212.1421,Structural & Miscellaneous Steel,Structural Steel,1,,,0,410,TN,26394.79578,1346210.136,2046609.678,3392820,Structural Steel,Structural Crew,1,,
A.212.1422,Structural & Miscellaneous Steel,"Miscellaneous Frames, Etc.",1,,,0,150,TN,18761.45763,956887.3155,1236291.567,2193179,Structural Steel,Structural Crew,1,,
A.212.1423,Structural & Miscellaneous Steel,Floor Grating (Galv),1,,,0,22320,SF,10263.62094,523474.3554,388077.5171,911552,Iron & Steel,Structural Crew,1,,
A.212.1424,Structural & Miscellaneous Steel,Stair Treads,1,,,0,350,EA,515.0204055,26267.57341,74425.83884,100693,Structural Steel,Structural Crew,1,,
