Account,Scaling Account,Area - PWR12,Staff Limit - PWR12,Area,Staff Limit,New Building
A.211.,A.211.1,250905,500,250905.0,500.0,
A.212.,A.212.13,1534,353,1534.3852679397912,353.0,
A.213.,A.213.13,6100,927,6100.0,927.0,
A.214.,A.214.,307,114,307.0,114.0,
A.215.,A.215.13,1294,313,1294.0,313.0,
A.216.,A.216.13,1728,383,1728.0,383.0,
A.217.,A.217.13,900,243,900.0,243.0,
A.218A.,A.218A.13,1890,408,1890.0,408.0,
A.218B.,A.218B.13,4428,741,4428.0,741.0,
A.218D,A.218D.,216,89,216.0,89.0,
A.218E.,A.218E.13,240,96,240.0,96.0,
A.218F.,A.218F.,50,32,50.0,32.0,
A.218G.,A.218G.,96,51,96.0,51.0,
A.218H.,A.218H.,360,128,360.0,128.0,
A.218J.,A.218J.13,420,142,420.0,142.0,
A.218K.,A.218K.,50,32,50.0,32.0,
A.218L.,A.218L.,367,130,367.0,130.0,
A.218P.,A.218P.,45,30,45.0,30.0,
A.218S.,A.218S.,192,82,192.0,82.0,
A.218T.,A.218T.13,810,226,810.0,226.0,
A.218V.,A.218V.,60,36,60.0,36.0,
A.24.,A.241.,38567,3372,38567.0,3372.0,
A.261.1,A.261.1,100,52,100.0,52.0,
A.261.2,A.261.2,448,149,448.0,149.0,
A.261.3,A.261.3,689,201,689.0,201.0,
A.262.13,A.262.13,7385,1060,7385.0,1060.0,
