Account,Scaling Account,Area - PWR12,Staff Limit - PWR12,Area,Staff Limit,New Building
A.211.,A.211.1,250905,500,89030.80645,500,
A.212.,A.212.13,1534,353,660.5198554,196,
A.213.,A.213.13,6100,927,4148.16,708,
A.214.,A.214.,307,114,307,114,
A.215.,A.215.13,1294,313,0,0,A.212.
A.216.,A.216.13,1728,383,887.04,240,
A.217.,A.217.13,900,243,0,0,A.212.
A.218A.,A.218A.13,1890,408,2288.64,467,
A.218B.,A.218B.13,4428,741,4185,712,
A.218D,A.218D.,216,89,216,89,
A.218E.,A.218E.13,240,96,80.33608449,45,
A.218F.,A.218F.,50,32,16.73668427,15,
A.218G.,A.218G.,96,51,32.1344338,24,
A.218H.,A.218H.,360,128,120.5041267,59,
A.218J.,A.218J.13,420,142,140.5881479,66,
A.218K.,A.218K.,50,32,16.73668427,15,
A.218L.,A.218L.,367,130,367,130,
A.218P.,A.218P.,45,30,15.06301584,14,
A.218S.,A.218S.,192,82,64.26886759,38,
A.218T.,A.218T.13,810,226,271.1342851,105,
A.218V.,A.218V.,60,36,60,36,
A.24.,A.241.,38567,3372,16927.74242,1895,
A.261.1,A.261.1,100,52,33.53226165,24,
A.261.2,A.261.2,448,149,150.2245322,69,
A.261.3,A.261.3,689,201,231.0372828,94,
A.262.13,A.262.13,7385,1060,2476.357523,493,
