Account,Scaling Account,Area - PWR12,Staff Limit - PWR12,Area,Staff Limit,New Building
A.211.,A.211.1,250905,500,89030.80645,500,
A.212.,A.212.13,1534,353,660.5198554,196,
A.213.,A.213.13,6100,927,9010,1218,
A.214.,A.214.,307,114,307,114,
A.215.,A.215.13,1294,313,2712.840145,526,
A.216.,A.216.13,1728,383,2488.48,495,
A.217.,A.217.13,900,243,0,0,A.215.
A.218A.,A.218A.13,1890,408,1344,322,
A.218B.,A.218B.13,4428,741,4428,741,
A.218D,A.218D.,216,89,216,89,
A.218E.,A.218E.13,240,96,268.1979753,104,
A.218F.,A.218F.,50,32,55.87457818,35,
A.218G.,A.218G.,96,51,107.2791901,55,
A.218H.,A.218H.,360,128,402.2969629,138,
A.218J.,A.218J.13,420,142,469.3464567,154,
A.218K.,A.218K.,50,32,55.87457818,35,
A.218L.,A.218L.,367,130,367,130,
A.218P.,A.218P.,45,30,50.28712036,32,
A.218S.,A.218S.,192,82,192,82,
A.218T.,A.218T.13,810,226,905.1681666,244,
A.218V.,A.218V.,60,36,60,36,
A.24.,A.241.,38567,3372,42595.18455,3614,
A.261.1,A.261.1,100,52,110.5292284,56,
A.261.2,A.261.2,448,149,495.1709434,160,
A.261.3,A.261.3,689,201,761.5463839,216,
A.262.13,A.262.13,7385,1060,8162.58352,1137,
