Account,Scaling Account,Area - PWR12,Staff Limit - PWR12,Area,Staff Limit,New Building
A.211.,A.211.1,250905,500,93077.66129,500,
A.212.,A.212.13,1534,353,5046.91,812,
A.213.,A.213.13,6100,927,13270.68,1598,
A.214.,A.214.,307,114,307,114,
A.215.,A.215.13,1294,313,0,0,A.212.
A.216.,A.216.13,1728,383,2320.64,471,
A.217.,A.217.13,900,243,0,0,A.216.
A.218A.,A.218A.13,1890,408,998.22,261,
A.218B.,A.218B.13,4428,741,3981.21,688,A.218A.
A.218D,A.218D.,216,89,216,89,
A.218E.,A.218E.13,240,96,0,0,A.212.
A.218F.,A.218F.,50,32,36.47875445,30,
A.218G.,A.218G.,96,51,92.22,49,
A.218H.,A.218H.,360,128,0,0,A.213.
A.218J.,A.218J.13,420,142,0,0,A.212.
A.218K.,A.218K.,50,32,36.47875445,30,
A.218L.,A.218L.,367,130,367,130,
A.218P.,A.218P.,45,30,0,0,A.212.
A.218S.,A.218S.,192,82,0,0,A.216.
A.218T.,A.218T.13,810,226,0,0,A.212.
A.218V.,A.218V.,60,36,60,36,
A.24.,A.241.,38567,3372,28351.40501,3031,
A.261.1,A.261.1,100,52,76.22859767,50,
A.261.2,A.261.2,448,149,341.5041176,143,
A.261.3,A.261.3,689,201,525.215038,193,
A.262.13,A.262.13,7385,1060,5629.481938,1014,
