Account,Scaling Account,Area - PWR12,Staff Limit - PWR12,Area,Staff Limit,New Building
A.211.,A.211.1,250905,500,20638.95968,500,
A.212.,A.212.13,1534,353,201.0619298,85,
A.213.,A.213.13,6100,927,190.46,82,
A.214.,A.214.,307,114,307,114,
A.215.,A.215.13,1294,313,1397.44,331,
A.216.,A.216.13,1728,383,0,0,A.217.
A.217.,A.217.13,900,243,495.28,160,
A.218A.,A.218A.13,1890,408,0,0,A.215.
A.218B.,A.218B.13,4428,741,0,0,A.215.
A.218D,A.218D.,216,89,216,89,
A.218E.,A.218E.13,240,96,0,0,A.215.
A.218F.,A.218F.,50,32,11.17330011,11,
A.218G.,A.218G.,96,51,0,0,A.215.
A.218H.,A.218H.,360,128,0,0,A.215.
A.218J.,A.218J.13,420,142,0,0,A.215.
A.218K.,A.218K.,50,32,11.17330011,11,
A.218L.,A.218L.,367,130,367,130,
A.218P.,A.218P.,45,30,0,0,A.212
A.218S.,A.218S.,192,82,0,0,A.217.
A.218T.,A.218T.13,810,226,0,0,A.215.
A.218V.,A.218V.,60,36,60,36,
A.24.,A.241.,38567,3372,11847.65046,1476,
A.261.1,A.261.1,100,52,23.15019977,19,
A.261.2,A.261.2,448,149,103.712895,54,
A.261.3,A.261.3,689,201,159.5048764,72,
A.262.13,A.262.13,7385,1060,1709.642253,381,
