,Account,Header,Description,Task Length,Delay,Start,Launched,Status,Civil,Mech,Elect,Dependency 1,Fraction 1,Building,Parallelism,Hours
0,A.211.,Yardwork,Yardwork,13.28922318,0.162785401,0.0,False,0.0,1.0,0.0,0,None,0.0,A.211.,1.0,821300.0875
1,A.212.13,Reactor building,Substructure,4.145657392,0.126174356,6.0,False,0.0,1.0,0.0,0,A.211.,0.5,A.212.,1.0,220629.3339
2,A.212.140,Reactor building,Interior concrete,59.2761471,20.36277195,16.0,False,0.0,1.0,0.0,0,A.212.141,0.5,A.212.,3.0,893948.6231
3,A.212.141,Reactor building,Superstructure concrete,15.27839236,0.403028954,10.0,False,0.0,1.0,0.0,0,A.212.13,0.9,A.212.,3.0,195034.3572
4,A.212.142,Reactor building,Structural & Misc steel,10.23957991,0.372136078,16.0,False,0.0,1.0,0.0,0,A.212.141,0.5,A.212.,3.0,57322.88421
5,A.212.149,Reactor building,Painting,50.78901221,7.440078018,20.0,False,0.0,1.0,0.0,0,A.212.141,0.9,A.212.,3.0,272324.7462
6,A.212.15,Reactor building,Containment liner,37.12244157,0.4766125,21.0,False,0.0,1.0,0.0,0,A.212.141,1.0,A.212.,3.0,3142634.961
7,A.212.21,Reactor building,Plumbing & Drains,11.03256135,20.40482643,21.0,False,0.0,0.0,1.0,0,A.212.141,1.0,A.212.,3.0,19742.28969
8,A.212.22,Reactor building,HVAC,40.83920929,25.03938073,21.0,False,0.0,0.0,1.0,0,A.212.141,1.0,A.212.,3.0,1264.103537
9,A.212.23,Reactor building,Safety HVAC,57.72612609,7.596990685,21.0,False,0.0,0.0,1.0,0,A.212.141,1.0,A.212.,3.0,72301.2262
10,A.212.24,Reactor building,Lighting & Service power,21.01041136,6.940433612,21.0,False,0.0,0.0,0.0,1,A.212.141,1.0,A.212.,3.0,64698.5149
11,A.212.25,Reactor building,Elevator,47.72398839,20.66688978,21.0,False,0.0,0.0,1.0,0,A.212.141,1.0,A.212.,3.0,2207.230309
12,A.212.3,Reactor building,Passive cooling pool,28.38519455,15.54501725,21.0,False,0.0,1.0,0.0,0,A.212.141,1.0,A.212.,3.0,109950.294
13,A.219.,Reactor building,Shield building,18.08778545,33.90095983,0.0,False,0.0,1.0,0.0,0,A.212.141,1.0,A.212.,3.0,0.0
14,A.213.13,Turbine generator building,Substructure,12.42451295,2.392280517,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.213.,1.0,200007.7671
15,A.213.141,Turbine generator building,Superstructure concrete,1.615654259,1.884706534,18.0,False,0.0,1.0,0.0,0,A.213.13,0.9,A.213.,1.0,23761.15223
16,A.213.142,Turbine generator building,Structural & Misc steel,11.88273111,5.742784137,20.0,False,0.0,1.0,0.0,0,A.213.141,0.5,A.213.,1.0,273965.0835
17,A.213.143,Turbine generator building,Exterior walls,41.1043925,0.631131562,20.0,False,0.0,1.0,0.0,0,A.213.141,0.9,A.213.,1.0,29931.68401
18,A.213.144,Turbine generator building,Roofing,44.41582476,25.00599227,20.0,False,0.0,1.0,0.0,0,A.213.141,0.9,A.213.,1.0,12330.8376
19,A.213.145,Turbine generator building,Roofing,15.37882699,32.14718834,20.0,False,0.0,1.0,0.0,0,A.213.141,0.9,A.213.,1.0,5450.292508
20,A.213.146,Turbine generator building,Interior walls,10.73208825,15.35883002,20.0,False,0.0,1.0,0.0,0,A.213.141,0.9,A.213.,1.0,8261.71905
21,A.213.147,Turbine generator building,Doors/windows,21.54559721,15.13291446,36.0,False,0.0,1.0,0.0,0,A.213.146,0.9,A.213.,1.0,10829.33173
22,A.213.149,Turbine generator building,Painting,16.18603696,7.665951298,37.0,False,0.0,1.0,0.0,0,A.213.143,0.9,A.213.,1.0,34918.10521
23,A.213.21,Turbine generator building,Plumbing & Drains,3.255178948,1.948357486,20.0,False,0.0,1.0,0.0,0,A.213.141,1.0,A.213.,1.0,65283.77995
24,A.213.22,Turbine generator building,HVAC,27.51418642,4.235955029,20.0,False,0.0,0.0,1.0,0,A.213.141,1.0,A.213.,1.0,31381.49518
25,A.213.24,Turbine generator building,Lighting & Service power,51.21686455,3.085846191,20.0,False,0.0,0.0,0.0,1,A.213.141,1.0,A.213.,1.0,24299.17368
