Account,Dependency 1,Fraction 1,Building,Parallelism,Hours run0_unit0,Hours run0_unit1,Hours run0_unit2,Hours run0_unit3,Hours run0_unit4,Hours run0_unit5,Hours run0_unit6,Hours run0_unit7,Hours run0_unit8,Hours run0_unit9
A.211.,None,0,A.211.,1,1173258.997,1019562.068,939166.3544,885999.4373,846841.629,816135.5619,791044.2216,769933.5111,751780.6754,735905.3756
A.212.13,A.211.,0.5,A.212.,1,87061.50091,75656.44429,69690.69288,65745.45009,62839.75103,60561.21211,58699.31311,57132.79613,55785.76779,54607.74364
A.212.140,A.212.141,0.5,A.212.,3,93924.6289,81620.50251,75184.46612,70928.21668,67793.45903,65335.30106,63326.62707,61636.6203,60183.40464,58912.5159
A.212.141,A.212.13,0.9,A.212.,3,199109.628,173026.2667,159382.5949,150359.8258,143714.4929,138503.475,134245.3125,130662.6886,127582.0352,124887.8943
A.212.142,A.212.141,0.5,A.212.,3,6022.751742,5233.771264,4821.071742,4548.147228,4347.136403,4189.511344,4060.708655,3952.339941,3859.155041,3777.661535
A.212.149,A.212.141,0.9,A.212.,3,38870.95068,33778.85614,31115.28583,29353.82599,28056.49842,27039.18339,26207.88846,25508.47478,24907.05772,24381.09713
A.212.15,A.212.141,1,A.212.,3,92298.72958,80207.59601,73882.9718,69700.40093,66619.90807,64204.30249,62230.40002,60569.64841,59141.5889,57892.70011
A.212.21,A.212.141,1,A.212.,3,2074.265998,1802.537153,1660.401361,1566.404786,1497.175646,1442.888783,1398.528489,1361.205759,1329.11241,1301.045637
A.212.22,A.212.141,1,A.212.,3,709.1363591,616.2394961,567.6470506,535.5121221,511.8445212,493.2852869,478.1196826,465.3600341,454.3881721,444.7928889
A.212.23,A.212.141,1,A.212.,3,40559.51655,35246.21988,32466.94327,30628.96508,29275.28121,28213.7737,27346.36707,26616.57065,25989.02785,25440.21937
A.212.24,A.212.141,1,A.212.,3,6797.688195,5907.191042,5441.390228,5133.349015,4906.474495,4728.568108,4583.192612,4460.880294,4355.705463,4263.726336
A.212.25,A.212.141,1,A.212.,3,1103.615155,959.0415693,883.4180893,833.4071237,796.5736957,767.6903196,744.0883838,724.2307905,707.1554946,692.2225416
A.219.,A.212.141,1,A.212.,3,0,0,0,0,0,0,0,0,0,0
A.212.3,A.212.141,1,A.212.,3,185004.2768,160768.7165,148091.5916,139708.0147,133533.4513,128691.5931,124735.0879,121406.2647,118543.8514,116040.5692
A.213.13,A.211.,0.9,A.213.,1,1742814.295,1514505.623,1395082.034,1316105.386,1257938.529,1212326.288,1175054.426,1143695.58,1116730.502,1093148.582
A.213.141,A.213.13,0.9,A.213.,1,38839.0919,33751.17086,31089.78362,29329.76748,28033.50321,27017.02197,26186.40837,25487.56794,24886.6438,24361.11429
