Account,Dependency 1,Fraction 1,Building,Parallelism,Hours run0_unit0,Hours run0_unit1,Hours run0_unit2,Hours run0_unit3,Hours run0_unit4,Hours run0_unit5,Hours run0_unit6,Hours run0_unit7,Hours run0_unit8,Hours run0_unit9
A.211.,None,0,A.211.,1,821300.0875,713709.776,657431.4887,620213.7954,592802.7024,571307.9637,553743.6236,538965.7882,526258.5125,515145.5484
A.212.13,A.211.,0.5,A.212.,1,220629.3339,191726.8911,176608.6156,166610.6684,159247.11,153472.8869,148754.5036,144784.6708,141371.0614,138385.7386
A.212.140,A.212.141,0.5,A.212.,3,893948.6231,776841.3534,715584.9404,675075.1361,645239.3804,621843.3132,602725.3101,586640.2933,572808.9888,560713.0216
A.212.141,A.212.13,0.9,A.212.,3,195034.3572,169484.8564,156120.4361,147282.3402,140773.0205,135668.659,131497.6503,127988.3537,124970.7534,122331.7548
A.212.142,A.212.141,0.5,A.212.,3,57322.88421,49813.58638,45885.62655,43288.00656,41374.84116,39874.60948,38648.70113,37617.2777,36730.36961,35954.73697
A.212.149,A.212.141,0.9,A.212.,3,272324.7462,236650.2044,217989.5826,205649.0276,196560.1221,189432.9473,183609.0048,178709.005,174495.5565,170810.7461
A.212.15,A.212.141,1,A.212.,3,3142634.961,2730949.781,2515605.699,2373195.36,2268309.143,2186061.353,2118852.899,2062306.768,2013683.458,1971160.645
A.212.21,A.212.141,1,A.212.,3,19742.28969,17156.04974,15803.24062,14908.60723,14249.70344,13733.0161,13310.8071,12955.57968,12650.12407,12382.99229
A.212.22,A.212.141,1,A.212.,3,1264.103537,1098.505973,1011.885281,954.6016908,912.4119235,879.3283093,852.2941659,829.5488693,809.9904736,792.8859615
A.212.23,A.212.141,1,A.212.,3,72301.2262,62829.76557,57875.43859,54599.06628,52185.99503,50293.75614,48747.52067,47446.5886,46327.9334,45349.62968
A.212.24,A.212.141,1,A.212.,3,64698.5149,56223.00945,51789.64622,48857.79521,46698.46632,45005.20256,43621.55883,42457.42404,41456.39911,40580.96723
A.212.25,A.212.141,1,A.212.,3,2207.230309,1918.083139,1766.836179,1666.814247,1593.147391,1535.380639,1488.176768,1448.461581,1414.310989,1384.445083
A.219.,A.212.141,1,A.212.,3,0,0,0,0,0,0,0,0,0,0
A.212.3,A.212.141,1,A.212.,3,109950.294,95546.80551,88012.63581,83030.17399,79360.55581,76482.98052,74131.58133,72153.22119,70452.05409,68964.323
A.213.13,A.211.,0.9,A.213.,1,200007.7671,173806.7496,160101.5342,151038.0654,144362.7568,139128.2332,134850.8631,131252.0788,128157.5293,125451.2357
A.213.141,A.213.13,0.9,A.213.,1,23761.15223,20648.44128,19020.24597,17943.49548,17150.46116,16528.59375,16020.43728,15592.89757,15225.26153,14903.75075
A.213.142,A.213.141,0.5,A.213.,1,273965.0835,238075.6575,219302.6342,206887.7464,197744.0942,190573.9892,184714.9664,179785.4516,175546.6236,171839.6178
