Account,Dependency 1,Fraction 1,Building,Parallelism,Hours run0_unit0,Hours run0_unit1,Hours run0_unit2,Hours run0_unit3,Hours run0_unit4,Hours run0_unit5,Hours run0_unit6,Hours run0_unit7,Hours run0_unit8,Hours run0_unit9
A.211.,None,0,A.211.,1,923746.1271,802735.3845,739437.1446,697577.0491,666746.7943,642570.8787,622815.6255,606194.4557,591902.1198,579402.9642
A.212.13,A.211.,0.5,A.212.,1,725695.4396,630629.337,580902.2067,548016.8938,523796.6296,504804.0176,489284.2805,476226.6807,464998.6143,455179.2711
A.212.140,A.212.141,0.5,A.212.,3,1293780.953,1124295.649,1035641.358,977012.9186,933832.6602,899972.3405,872303.5152,849024.2263,829006.6572,811500.5817
A.212.141,A.212.13,0.9,A.212.,3,1031877.585,896701.6211,825993.8444,779233.7087,744794.5399,717788.6508,695720.8962,677154.0929,661188.7313,647226.4551
A.212.142,A.212.141,0.5,A.212.,3,158803.6232,138000.3486,127118.5819,119922.3029,114622.1928,110466.0477,107069.8702,104212.4812,101755.4482,99606.68556
A.212.149,A.212.141,0.9,A.212.,3,453475.4395,394070.157,362996.4709,342446.9664,327312.1118,315443.9332,305745.8984,297586.4138,290570.1752,284434.2251
A.212.15,A.212.141,1,A.212.,3,2396812.074,1868026.184,1826622.944,1826622.944,1826622.944,1826622.944,1826622.944,1826622.944,1826622.944,1826622.944
A.212.21,A.212.141,1,A.212.,3,54692.76672,47528.01428,43780.27909,41301.84441,39476.45983,38045.06253,36875.40193,35891.30279,35045.08827,34305.0436
A.212.22,A.212.141,1,A.212.,3,1139.692501,990.3927836,912.2971606,860.651329,822.6138107,792.7862326,768.412746,747.9060049,730.272515,714.8514015
A.212.23,A.212.141,1,A.212.,3,65185.4559,56646.16118,52179.43109,49225.51406,47049.9334,45343.92561,43949.86815,42776.97172,41768.41277,40886.39212
A.212.24,A.212.141,1,A.212.,3,179236.595,155756.6011,143474.6974,135352.4863,129370.4208,124679.512,120846.3546,117621.3106,114848.1357,112422.8956
A.212.25,A.212.141,1,A.212.,3,2207.230309,1918.083139,1766.836179,1666.814247,1593.147391,1535.380639,1488.176768,1448.461581,1414.310989,1384.445083
A.219.,A.212.141,1,A.212.,3,0,0,0,0,0,0,0,0,0,0
A.212.3,A.212.141,1,A.212.,3,628585.8309,546241.0871,503168.2389,474683.5047,453704.2976,437253.1996,423810.2505,412499.9656,402774.3932,394269.0346
A.213.13,A.211.,0.9,A.213.,1,641740.5886,557672.5715,513698.3143,484617.4646,463199.2142,446403.8352,432679.5581,421132.5767,411203.472,402520.1171
A.213.141,A.213.13,0.9,A.213.,1,22480.40927,19535.47566,17995.04123,16976.32834,16226.03914,15637.69083,15156.92434,14752.42933,14404.60914,14100.42801
A.213.142,A.213.141,0.5,A.213.,1,325431.2492,282799.7556,260500.0948,245752.9876,234891.6394,226374.5824,219414.9032,213559.3462,208524.2261,204120.8346
A.213.143,A.213.141,0.9,A.213.,1,28318.34501,24608.64181,22668.17209,21384.90974,20439.77799,19698.64154,19093.02485,18583.48656,18145.34097,17762.16707
A.213.144,A.213.141,0.9,A.213.,1,39564.45839,34381.51434,31670.42252,29877.53596,28557.06241,27521.59717,26675.47087,25963.57875,25351.43164,24816.08723
A.213.145,A.213.141,0.9,A.213.,1,17487.69047,15196.80302,13998.48673,13206.02182,12622.36584,12164.68497,11790.69287,11476.03296,11205.46085,10968.83592
A.213.146,A.213.141,0.9,A.213.,1,9813.738003,8528.138325,7855.667476,7410.952204,7083.416278,6826.575037,6616.69824,6440.117465,6288.277869,6155.488746
A.213.147,A.213.146,0.9,A.213.,1,12863.69383,11178.54994,10297.0857,9714.159896,9284.830942,8948.167472,8673.064259,8441.60495,8242.575989,8068.518089
A.213.149,A.213.143,0.9,A.213.,1,33035.99457,28708.27928,26444.5401,24947.4947,23844.91023,22980.30534,22273.7969,21679.37289,21168.23513,20721.22699
A.213.21,A.213.141,1,A.213.,1,77547.77285,67389.01461,62075.17633,58561.05369,55972.87765,53943.32823,52284.89002,50889.55566,49689.72512,48640.43068
A.213.22,A.213.141,1,A.213.,1,28292.97894,24586.5987,22647.86714,21365.75427,20421.46912,19680.99655,19075.92233,18566.84046,18129.08733,17746.25667
A.213.24,A.213.141,1,A.213.,1,28863.9353,25082.75978,23104.90434,21796.91825,20833.57729,20078.16187,19460.87718,18941.52196,18494.93491,18104.37866
A.213.25,A.213.141,1,A.213.,1,1766.679294,1535.244306,1414.185407,1334.127302,1275.163945,1228.927119,1191.14488,1159.356626,1132.022304,1108.117468
A.214.,A.211.,0.9,A.214.,1,62706.00001,54491.51401,50194.6847,47353.12567,45260.29746,43619.18101,42278.14924,41149.86621,40179.66976,39331.19849
A.215.13,A.211.,0.5,A.215.,1,0,0,0,0,0,0,0,0,0,0
A.215.141,A.215.13,0.9,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.142,A.215.141,0.5,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.145,A.215.141,0.9,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.146,A.215.141,0.9,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.147,A.215.146,0.9,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.149,A.215.141,0.9,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.21,A.215.141,1,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.221,A.215.141,1,A.215.,2,5546.521887,4819.92752,4439.860895,4188.517015,4003.400479,3858.239118,3739.62109,3639.821286,3554.004684,3478.955016
A.215.222,A.215.141,1,A.215.,2,5502.962814,4782.074686,4404.992877,4155.622902,3971.960161,3827.93881,3710.252338,3611.236302,3526.093652,3451.63338
A.215.223,A.215.141,1,A.215.,2,493.6694873,428.9987845,395.170865,372.7999437,356.3236028,343.4034817,332.8458562,323.9631511,316.3250242,309.6452109
A.215.224,A.215.141,1,A.215.,2,1524.567535,1324.849188,1220.380613,1151.293944,1100.411127,1060.510752,1027.906321,1000.474437,976.8861044,956.257269
A.215.225,A.215.141,1,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.226,A.215.141,1,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.227,A.215.141,1,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.228,A.215.141,1,A.215.,2,290.393816,252.3522261,232.45345,219.2940845,209.6021193,202.002048,195.7916801,190.5665594,186.0735437,182.1442417
A.215.23,A.215.141,1,A.215.,2,6403.183644,5564.366587,5125.598572,4835.434564,4621.726731,4454.145159,4317.206546,4201.992636,4102.921638,4016.280529
A.215.24,A.215.141,1,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.25,A.215.141,1,A.215.,2,3031.701546,2634.548643,2426.806098,2289.422771,2188.238984,2108.894499,2044.05847,1989.508388,1942.601456,1901.579677
A.216.13,A.211.,0.9,A.216.,1,87853.8298,76344.97809,70324.9336,66343.78596,63411.64273,61112.36729,59233.52354,57652.75,56293.46264,55104.71753
A.216.141,A.216.13,0.9,A.216.,2,173983.3602,151191.54,139269.6059,131385.4482,125578.7107,121025.2875,117304.4759,114173.9545,111482.0584,109127.8996
A.216.142,A.216.141,0.5,A.216.,2,24963.89305,21693.62306,19983.01184,18851.75844,18018.58235,17365.23729,16831.35897,16382.17808,15995.93306,15658.14807
A.216.143,A.216.141,0.9,A.216.,2,3327.775431,2891.83685,2663.806311,2513.006222,2401.940897,2314.847684,2243.679812,2183.802407,2132.314577,2087.286639
A.216.144,A.216.141,0.9,A.216.,2,8548.965933,7429.051396,6843.247049,6455.845663,6170.521816,5946.781686,5763.95333,5610.129881,5477.859024,5362.183459
A.216.145,A.216.141,0.9,A.216.,2,3336.668499,2899.564925,2670.925003,2519.72192,2408.359786,2321.033828,2249.675768,2189.638349,2138.012923,2092.864654
A.216.146,A.216.141,0.9,A.216.,2,51.29360402,44.5741419,41.05932895,38.73492931,37.02299263,35.68055686,34.58359082,33.66065357,32.86703139,32.17298059
A.216.147,A.216.146,0.9,A.216.,2,744.260137,646.762059,595.7628123,562.0362293,537.1963637,517.7178839,501.8011217,488.4094832,476.894181,466.82364
A.216.148,A.216.141,0.9,A.216.,2,140.8059718,122.3603895,112.7118834,106.3311785,101.6317445,97.94662666,94.93534734,92.40179411,90.22322342,88.31798594
A.216.149,A.216.141,0.9,A.216.,2,4362.411065,3790.935216,3492.007909,3294.322702,3148.726157,3034.554873,2941.260263,2862.766428,2795.270563,2736.243031
A.216.21,A.216.141,1,A.216.,2,14352.15155,12472.0197,11488.56125,10838.18512,10359.17852,9983.55973,9676.62433,9418.382869,9196.324271,9002.126136
A.216.22,A.216.141,1,A.216.,2,41354.86953,35937.38162,33103.6047,31229.58463,29849.35566,28767.03249,27882.61642,27138.50904,26498.66042,25939.09007
A.216.24,A.216.141,1,A.216.,2,10057.56942,8740.027823,8050.848813,7595.084178,7259.410319,6996.187619,6781.096238,6600.128151,6444.515959,6308.427567
A.216.25,A.216.141,1,A.216.,2,3136.650473,2725.749261,2510.815257,2368.676108,2263.989625,2181.898458,2114.817989,2058.379538,2009.848821,1967.406984
A.217.13,A.211.,0.9,A.215.,1,0,0,0,0,0,0,0,0,0,0
A.217.141,A.217.13,0.9,A.215.,1,0,0,0,0,0,0,0,0,0,0
A.217.142,A.217.141,0.5,A.215.,1,0,0,0,0,0,0,0,0,0,0
A.217.145,A.217.141,0.9,A.215.,1,0,0,0,0,0,0,0,0,0,0
A.217.147,A.217.145,0.9,A.215.,1,0,0,0,0,0,0,0,0,0,0
A.217.149,A.217.141,0.9,A.215.,1,0,0,0,0,0,0,0,0,0,0
A.217.21,A.217.141,1,A.215.,1,0,0,0,0,0,0,0,0,0,0
A.217.22,A.217.141,1,A.215.,1,20127.55214,17490.84281,16111.63419,15199.5424,14527.78039,14001.01011,13570.56188,13208.40235,12896.9859,12624.64116
A.217.23,A.217.141,1,A.215.,1,2341.213729,2034.514731,1874.086769,1767.993301,1689.854715,1628.581402,1578.512159,1536.386178,1500.162576,1468.483748
A.217.24,A.217.141,1,A.215.,1,0,0,0,0,0,0,0,0,0,0
A.217.3,A.217.142,1,A.215.,1,156679.1788,136154.2063,125418.0139,118318.0053,113088.7991,108988.254,105637.51,102818.3466,100394.1833,98274.16641
A.218A.13,A.211.,0.9,A.218A.,1,17285.8885,15021.43711,13836.94899,13053.62885,12476.70806,12024.30867,11654.63231,11343.60347,11076.15366,10842.2593
A.218A.141,A.218A.13,0.9,A.218A.,1,508019.3248,441468.7933,406657.5739,383636.3814,366681.1111,353385.4317,342520.9203,333380.0154,325519.8658,318645.8856
A.218A.142,A.218A.141,0.5,A.218A.,1,34230.99369,29746.73352,27401.10891,25849.91143,24707.44357,23811.56364,23079.49892,22463.57303,21933.94606,21470.76846
A.218A.145,A.218A.141,0.9,A.218A.,1,1348.203003,1171.58841,1079.204935,1018.110328,973.1137202,937.8290883,908.996392,884.737875,863.87828,845.6358229
A.218A.146,A.218A.141,0.9,A.218A.,1,26405.98539,22946.8013,21137.37299,19940.77033,19059.46406,18368.37713,17803.6582,17328.52942,16919.97213,16562.67427
A.218A.147,A.218A.146,0.9,A.218A.,1,1026.929811,892.4020054,822.0332671,775.4973427,741.223307,714.3469091,692.3849677,673.9071908,658.0183819,644.1230538
A.218A.148,A.218A.141,0.9,A.218A.,1,2743.947705,2384.490556,2196.465887,2072.122293,1980.542362,1908.728855,1850.046735,1800.674273,1758.21951,1721.091312
A.218A.149,A.218A.141,0.9,A.218A.,1,7926.345873,6887.994564,6344.854271,5985.667276,5721.123528,5513.678361,5344.16537,5201.544863,5078.907275,4971.656345
A.218A.21,A.218A.141,1,A.218A.,1,25700.58632,22333.80951,20572.71755,19408.08046,18550.31706,17877.69155,17328.0583,16865.62192,16467.97868,16120.22552
A.218A.231,A.218A.141,1,A.218A.,1,1866.550903,1622.032735,1494.130291,1409.546446,1347.24985,1298.399223,1258.481128,1224.895862,1196.016312,1170.760119
A.218A.232,A.218A.141,1,A.218A.,1,3160.037932,2746.072963,2529.53637,2386.337405,2280.87036,2198.167106,2130.586471,2073.727205,2024.834634,1982.076342
A.218A.233,A.218A.141,1,A.218A.,1,130.9860282,113.8268585,104.8512485,98.91554006,94.54384907,91.11573492,88.3144651,85.95760431,83.93096923,82.15860484
A.218A.234,A.218A.141,1,A.218A.,1,1227.994015,1067.126799,982.9804545,927.3331881,886.3485851,854.2100149,827.9481104,805.8525405,786.8528366,770.2369204
A.218A.235,A.218A.141,1,A.218A.,1,81205.10363,70567.23506,65002.78398,61322.92726,58612.6869,56487.41928,54750.76531,53289.62379,52033.2065,50934.42492
A.218A.236,A.218A.141,1,A.218A.,1,1842.786721,1601.381661,1475.10762,1391.600663,1330.097202,1281.868522,1242.458648,1209.300976,1180.789109,1155.854468
A.218A.237,A.218A.141,1,A.218A.,1,0,0,0,0,0,0,0,0,0,0
A.218A.238,A.218A.141,1,A.218A.,1,1064.26148,924.8432258,851.9163941,803.6887632,768.1687739,740.3153464,717.5550292,698.4055353,681.9391252,667.5386645
A.218A.24,A.218A.141,1,A.218A.,1,21872.83942,19007.49746,17508.69579,16517.51529,15787.50388,15215.05664,14747.28366,14353.72079,14015.301,13719.34087
A.218B.13,A.211.,0.9,A.218B.,1,34927.4705,30351.97187,27958.62229,26375.86355,25210.15061,24296.04277,23549.08319,22920.62543,22380.22247,21907.62088
A.218B.141,A.218B.13,0.9,A.218B.,1,10357.23874,9000.440468,8290.727093,7821.382767,7475.70737,7204.641844,6983.141729,6796.781625,6636.532905,6496.389704
A.218B.142,A.218B.141,0.5,A.218B.,1,11800.30491,10254.46497,9445.867771,8911.130058,8517.291972,8208.459093,7956.097536,7743.772021,7561.195969,7401.526724
A.218B.143,A.218B.141,0.9,A.218B.,1,5421.373702,4711.173747,4339.682704,4094.009986,3913.070302,3771.184269,3655.242663,3557.694678,3473.814388,3400.458093
A.218B.144,A.218B.141,0.9,A.218B.,1,12129.84528,10540.83555,9709.657117,9159.986091,8755.149513,8437.692035,8178.282921,7960.027913,7772.353164,7608.224927
A.218B.145,A.218B.141,0.9,A.218B.,1,5308.881092,4613.417669,4249.635003,4009.059954,3831.874738,3692.932817,3579.39698,3483.8731,3401.733312,3329.899148
A.218B.146,A.218B.141,0.9,A.218B.,1,17870.7313,15529.6655,14305.10195,13495.27932,12898.83926,12431.1336,12048.94978,11727.39773,11450.89915,11209.09132
A.218B.147,A.218B.146,0.9,A.218B.,1,2919.555429,2537.093668,2337.035757,2204.734397,2107.293515,2030.884073,1968.446402,1915.914191,1870.7424,1831.238064
A.218B.148,A.218B.141,0.9,A.218B.,1,4730.723927,4110.999092,3786.83373,3572.458211,3414.569134,3290.758512,3189.587155,3104.466186,3031.27173,2967.260577
A.218B.149,A.218B.141,0.9,A.218B.,1,4770.808858,4145.832898,3818.920779,3602.728788,3443.501866,3318.642157,3216.613544,3130.771317,3056.956661,2992.403121
