Account,Dependency 1,Fraction 1,Building,Parallelism,Hours run0_unit0,Hours run0_unit1,Hours run0_unit2,Hours run0_unit3,Hours run0_unit4,Hours run0_unit5,Hours run0_unit6,Hours run0_unit7,Hours run0_unit8,Hours run0_unit9
A.211.,None,0,A.211.,1,1033680.191,898268.0863,827436.7889,780594.967,746095.6357,719042.5695,696936.2643,678337.0263,662343.7745,648357.1074
A.212.13,A.211.,0.5,A.212.,1,220629.3339,191726.8911,176608.6156,166610.6684,159247.11,153472.8869,148754.5036,144784.6708,141371.0614,138385.7386
A.212.140,A.212.141,0.5,A.212.,3,889510.93,772984.9981,712032.6709,671723.9634,642036.3167,618756.391,599733.2925,583728.1242,569965.4804,557929.5592
A.212.141,A.212.13,0.9,A.212.,3,754537.743,655693.2987,603989.7952,569797.4765,544614.5933,524867.1321,508730.5728,495154.0071,483479.6883,473270.0816
A.212.142,A.212.141,0.5,A.212.,3,57038.32494,49566.30437,45657.84352,43073.1185,41169.45034,39676.66602,38456.84326,37430.53997,36548.03463,35776.25234
A.212.149,A.212.141,0.9,A.212.,3,271119.7694,235603.0796,217025.027,204739.0762,195690.387,188594.7484,182796.5756,177918.2572,173723.4523,170054.9463
A.212.15,A.212.141,1,A.212.,3,643771.5014,559437.4347,515324.0125,486151.1308,464665.0981,447816.5669,434048.8567,422465.3326,412504.8054,403793.9703
A.212.21,A.212.141,1,A.212.,3,19644.28605,17070.88458,15724.791,14834.5987,14178.96581,13664.84338,13244.73028,12891.26627,12587.32699,12321.52129
A.212.22,A.212.141,1,A.212.,3,1269.157428,1102.897805,1015.930803,958.4181921,916.05975,882.8438674,855.7016413,832.865409,813.2288188,796.0559228
A.212.23,A.212.141,1,A.212.,3,72590.28679,63080.95922,58106.82483,54817.35357,52394.63484,50494.83078,48942.41345,47636.28025,46513.15266,45530.93768
A.212.24,A.212.141,1,A.212.,3,64377.34191,55943.91012,51532.55476,48615.25789,46466.64823,44781.79008,43405.01496,42246.65911,41250.60341,40379.51731
A.212.25,A.212.141,1,A.212.,3,2207.230309,1918.083139,1766.836179,1666.814247,1593.147391,1535.380639,1488.176768,1448.461581,1414.310989,1384.445083
A.219.,A.212.141,1,A.212.,3,0,0,0,0,0,0,0,0,0,0
A.212.3,A.212.141,1,A.212.,3,0,0,0,0,0,0,0,0,0,0
A.213.13,A.211.,0.9,A.213.,1,294982.4418,256339.7419,236126.5374,222759.2357,212914.124,205193.961,198885.4606,193577.7758,189013.7641,185022.3737
A.213.141,A.213.13,0.9,A.213.,1,31906.22805,27726.51217,25540.18845,24094.33908,23029.46085,22194.42376,21512.07653,20937.98066,20444.32281,20012.60148
A.213.142,A.213.141,0.5,A.213.,1,298780.8022,259640.5171,239167.036,225627.6093,215655.7264,207836.1543,201446.4221,196070.3925,191447.612,187404.8262
A.213.143,A.213.141,0.9,A.213.,1,40191.95394,34926.80797,32172.71801,30351.39613,29009.97975,27958.09195,27098.54602,26375.36324,25753.50742,25209.67241
A.213.144,A.213.141,0.9,A.213.,1,18186.19665,15803.80489,14557.62458,13733.50645,13126.53765,12650.57576,12261.64539,11934.41711,11653.0376,11406.96122
A.213.145,A.213.141,0.9,A.213.,1,8038.390788,6985.361595,6434.543601,6070.279226,5801.995951,5591.61839,5419.709204,5275.072647,5150.701484,5041.934481
A.213.146,A.213.141,0.9,A.213.,1,9010.064399,7829.745963,7212.345575,6804.049242,6503.33612,6267.528304,6074.838887,5912.718791,5773.313751,5651.399089
A.213.147,A.213.146,0.9,A.213.,1,11810.25108,10263.10819,9453.829442,8918.641013,8524.470971,8215.377785,7962.803519,7750.29904,7567.5691,7407.765274
A.213.149,A.213.143,0.9,A.213.,1,46887.66846,40745.38389,37532.4807,35407.7386,33842.8511,32615.72572,31612.98511,30769.32485,30043.87195,29409.43761
A.213.21,A.213.141,1,A.213.,1,71197.17555,61870.34555,56991.6719,53765.33028,51389.10699,49525.76288,48003.13866,46722.07202,45620.49885,44657.13398
A.213.22,A.213.141,1,A.213.,1,31506.95853,27379.54696,25220.58254,23792.82631,22741.2738,21916.68623,21242.87779,20675.96606,20188.48577,19762.16693
