Account,Dependency 1,Fraction 1,Building,Parallelism,Hours run0_unit0,Hours run0_unit1,Hours run0_unit2,Hours run0_unit3,Hours run0_unit4,Hours run0_unit5,Hours run0_unit6,Hours run0_unit7,Hours run0_unit8,Hours run0_unit9
A.211.,None,0,A.211.,1,342671.8872,297781.87,274300.8218,258772.445,247335.6863,238367.4141,231039.0263,224873.2547,219571.3849,214934.7114
A.212.13,A.211.,0.5,A.212.,1,79146.81901,68778.58572,63355.17534,59768.59099,57127.04639,55055.64737,53363.01192,51938.90557,50714.33436,49643.40331
A.212.140,A.212.141,0.5,A.212.,3,258681.2346,224793.9929,207068.2711,195345.9798,186712.4298,179942.3276,174410.1656,169755.6565,165753.3024,162253.1015
A.212.141,A.212.13,0.9,A.212.,3,187894.5352,163280.3511,150405.1757,141890.6251,135619.5986,130702.0977,126683.7814,123302.9532,120395.8213,117853.4312
A.212.142,A.212.141,0.5,A.212.,3,19191.14114,16677.10165,15362.05911,14492.40134,13851.89227,13349.62937,12939.20724,12593.89676,12296.96861,12037.29438
A.212.149,A.212.141,0.9,A.212.,3,123859.9784,107634.3213,99147.01248,93534.22518,89400.36786,86158.75385,83509.88187,81281.24169,79364.8619,77688.91967
A.212.15,A.212.141,1,A.212.,3,690029.8337,599635.9255,552352.7244,521083.6192,498053.7034,479994.5175,465237.5257,452821.6651,442145.4221,432808.6682
A.212.21,A.212.141,1,A.212.,3,6609.525554,5743.677707,5290.77044,4991.255927,4770.661382,4597.679512,4456.328067,4337.401401,4235.13785,4145.704741
A.212.22,A.212.141,1,A.212.,3,424.829743,369.1770467,340.0662616,320.8148536,306.6360561,295.5175813,286.432164,278.7881078,272.2150795,266.4667328
A.212.23,A.212.141,1,A.212.,3,24298.41422,21115.32196,19450.31162,18349.21478,17538.24921,16902.3208,16382.67443,15945.46764,15569.51901,15240.73857
A.212.24,A.212.141,1,A.212.,3,21660.43018,18822.91383,17338.66717,16357.11212,15634.18992,15067.30177,14604.07138,14214.33043,13879.19707,13586.11104
A.212.25,A.212.141,1,A.212.,3,2207.230309,1918.083139,1766.836179,1666.814247,1593.147391,1535.380639,1488.176768,1448.461581,1414.310989,1384.445083
A.219.,A.212.141,1,A.212.,3,0,0,0,0,0,0,0,0,0,0
A.212.3,A.212.141,1,A.212.,3,248817.5154,216222.4209,199172.5948,187897.2837,179592.9378,173080.9849,167759.7686,163282.7396,159432.9984,156066.2629
A.213.13,A.211.,0.9,A.213.,1,200595.7976,174317.7481,160572.2389,151482.1231,144787.1889,139537.2756,135247.3299,131637.965,128534.3174,125820.0672
A.213.141,A.213.13,0.9,A.213.,1,9676.724563,8409.073645,7745.991426,7307.484998,6984.521929,6731.266549,6524.319924,6350.204463,6200.484759,6069.549556
A.213.142,A.213.141,0.5,A.213.,1,116923.6389,101606.6422,93594.63509,88296.17207,84393.81679,81333.73789,78833.20662,76729.37353,74920.31381,73338.22679
A.213.143,A.213.141,0.9,A.213.,1,12189.67242,10592.82533,9757.547339,9205.165211,8798.331888,8479.308638,8218.62006,7999.288568,7810.688165,7645.750411
A.213.144,A.213.141,0.9,A.213.,1,12367.09074,10747.00185,9899.566553,9339.14461,8926.389906,8602.723334,8338.240485,8115.716666,7924.37122,7757.032829
A.213.145,A.213.141,0.9,A.213.,1,5466.316579,4750.229107,4375.658424,4127.949094,3945.50943,3802.44717,3685.544415,3587.187763,3502.612109,3428.647695
A.213.146,A.213.141,0.9,A.213.,1,3525.961202,3064.060284,2822.449379,2662.668387,2544.988562,2452.70851,2377.302234,2313.858828,2259.304638,2211.595061
